,Filename,Absolute_Injected_Charges
0,c_ALL_20210617075845173.csv,1.14115245e-05
1,c_ALL_20210617075845484.csv,1.1510044e-05
2,c_ALL_20210617075845808.csv,1.1530659e-05
3,c_ALL_20210617075846142.csv,1.15069625e-05
4,c_ALL_20210617075846479.csv,1.14644395e-05
5,c_ALL_20210617075846815.csv,1.1518699e-05
6,c_ALL_20210617075847142.csv,1.15195325e-05
7,c_ALL_20210617075847490.csv,1.15025585e-05
8,c_ALL_20210617075847814.csv,1.1585347e-05
9,c_ALL_20210617075848146.csv,1.1459672e-05
10,c_ALL_20210617075848475.csv,1.1624592e-05
11,c_ALL_20210617075848812.csv,1.14367765e-05
12,c_ALL_20210617075849141.csv,1.1494625e-05
13,c_ALL_20210617075849491.csv,1.13995275e-05
14,c_ALL_20210617075849809.csv,1.1454373e-05
15,c_ALL_20210617075850142.csv,1.15356645e-05
16,c_ALL_20210617075850477.csv,1.15295965e-05
17,c_ALL_20210617075850808.csv,1.15523925e-05
18,c_ALL_20210617075851141.csv,1.15328385e-05
19,c_ALL_20210617075851485.csv,1.14601775e-05
20,c_ALL_20210617075851808.csv,1.1411726e-05
21,c_ALL_20210617075852143.csv,1.13906565e-05
22,c_ALL_20210617075852475.csv,1.1409855e-05
23,c_ALL_20210617075852813.csv,1.15322655e-05
24,c_ALL_20210617075853141.csv,1.1500682e-05
25,c_ALL_20210617075853489.csv,1.14220025e-05
26,c_ALL_20210617075853808.csv,1.1503478e-05
27,c_ALL_20210617075854142.csv,1.14273785e-05
28,c_ALL_20210617075854479.csv,1.1526709e-05
29,c_ALL_20210617075854813.csv,1.1400781e-05
30,c_ALL_20210617075855151.csv,1.14386835e-05
31,c_ALL_20210617075855485.csv,1.1424242e-05
32,c_ALL_20210617075855807.csv,1.1429475e-05
33,c_ALL_20210617075856142.csv,1.1429452e-05
34,c_ALL_20210617075856482.csv,1.13954215e-05
35,c_ALL_20210617075856815.csv,1.13931525e-05
36,c_ALL_20210617075857141.csv,1.14472775e-05
37,c_ALL_20210617075857491.csv,1.14894225e-05
38,c_ALL_20210617075857822.csv,1.1427572e-05
39,c_ALL_20210617075858147.csv,1.1311242e-05
40,c_ALL_20210617075858478.csv,1.139668e-05
