,Filename,Absolute_Injected_Charges
0,tension_ALL_20200703152649961.csv,1.01721205e-05
1,tension_ALL_20200703152650943.csv,1.0635072e-05
2,tension_ALL_20200703152651943.csv,1.10936325e-05
3,tension_ALL_20200703152652944.csv,1.10792475e-05
4,tension_ALL_20200703152653944.csv,1.07974285e-05
5,tension_ALL_20200703152654935.csv,1.1106313e-05
6,tension_ALL_20200703152655932.csv,1.0958089e-05
7,tension_ALL_20200703152656930.csv,1.10265945e-05
8,tension_ALL_20200703152657932.csv,1.010911e-05
9,tension_ALL_20200703152658935.csv,1.09083205e-05
10,tension_ALL_20200703152659936.csv,1.102305e-05
11,tension_ALL_20200703152700942.csv,1.07181995e-05
12,tension_ALL_20200703152701943.csv,1.10477585e-05
13,tension_ALL_20200703152702943.csv,1.09944655e-05
14,tension_ALL_20200703152703935.csv,1.0276436e-05
15,tension_ALL_20200703152704943.csv,1.05700975e-05
16,tension_ALL_20200703152705946.csv,1.0858381e-05
17,tension_ALL_20200703152706931.csv,1.0564732e-05
18,tension_ALL_20200703152707931.csv,1.10624385e-05
19,tension_ALL_20200703152708931.csv,1.1010062e-05
20,tension_ALL_20200703152709930.csv,1.0060961e-05
21,tension_ALL_20200703152710931.csv,1.1085947e-05
22,tension_ALL_20200703152711939.csv,1.0304592e-05
23,tension_ALL_20200703152712941.csv,1.04842775e-05
24,tension_ALL_20200703152713937.csv,1.10909785e-05
25,tension_ALL_20200703152714931.csv,1.0857922e-05
26,tension_ALL_20200703152715945.csv,1.10792765e-05
27,tension_ALL_20200703152716931.csv,1.021617e-05
28,tension_ALL_20200703152717931.csv,1.09719525e-05
29,tension_ALL_20200703152718931.csv,1.10959515e-05
30,tension_ALL_20200703152719931.csv,1.1101828e-05
31,tension_ALL_20200703152720944.csv,1.10848075e-05
32,tension_ALL_20200703152721941.csv,1.0851365e-05
33,tension_ALL_20200703152722930.csv,1.1101268e-05
34,tension_ALL_20200703152723943.csv,1.1052915e-05
35,tension_ALL_20200703152724930.csv,1.0946637e-05
36,tension_ALL_20200703152725930.csv,1.1091463e-05
37,tension_ALL_20200703152726931.csv,1.0954534e-05
38,tension_ALL_20200703152727943.csv,1.0377804e-05
39,tension_ALL_20200703152728931.csv,1.11745835e-05
40,tension_ALL_20200703152729931.csv,1.0969541e-05
41,tension_ALL_20200703152730931.csv,1.08893225e-05
42,tension_ALL_20200703152731930.csv,1.02567915e-05
43,tension_ALL_20200703152732942.csv,1.0907267e-05
44,tension_ALL_20200703152733944.csv,1.04379625e-05
45,tension_ALL_20200703152734936.csv,1.1188646e-05
46,tension_ALL_20200703152735930.csv,1.10512895e-05
47,tension_ALL_20200703152736943.csv,1.1033736e-05
48,tension_ALL_20200703152737935.csv,1.10674905e-05
49,tension_ALL_20200703152738940.csv,1.0860882e-05
50,tension_ALL_20200703152739944.csv,1.0928703e-05
51,tension_ALL_20200703152740931.csv,1.10744105e-05
52,tension_ALL_20200703152741945.csv,1.0248852e-05
53,tension_ALL_20200703152742931.csv,1.0984805e-05
54,tension_ALL_20200703152743932.csv,1.1121043e-05
55,tension_ALL_20200703152744943.csv,1.0986544e-05
56,tension_ALL_20200703152745935.csv,9.9641205e-06
57,tension_ALL_20200703152746931.csv,1.09851925e-05
58,tension_ALL_20200703152747932.csv,1.07019475e-05
