,Filename,ReInjected_Charges
0,c_ALL_20210120121540243.csv,-2.0181e-08
1,c_ALL_20210120121608906.csv,-4.1299e-08
2,c_ALL_20210120121609292.csv,-2.8813e-08
3,c_ALL_20210120121609692.csv,-5.3874e-08
4,c_ALL_20210120121610091.csv,-8.95035e-08
5,c_ALL_20210120121610493.csv,-6.6512e-08
6,c_ALL_20210120121610891.csv,-5.91005e-08
7,c_ALL_20210120121611292.csv,-7.85005e-08
8,c_ALL_20210120121611692.csv,-7.88145e-08
9,c_ALL_20210120121612094.csv,-7.25975e-08
10,c_ALL_20210120121612491.csv,-8.436e-08
11,c_ALL_20210120121612895.csv,-9.5541e-08
12,c_ALL_20210120121613292.csv,-8.011e-08
13,c_ALL_20210120121613692.csv,-9.95545e-08
14,c_ALL_20210120121614091.csv,-5.8868e-08
15,c_ALL_20210120121614500.csv,-7.775375e-08
16,c_ALL_20210120121614891.csv,-6.36905e-08
17,c_ALL_20210120121615292.csv,-7.47445e-08
18,c_ALL_20210120121615691.csv,-6.36395e-08
19,c_ALL_20210120121616094.csv,-6.4064e-08
20,c_ALL_20210120121616491.csv,-6.4853e-08
21,c_ALL_20210120121616892.csv,-7.54905e-08
22,c_ALL_20210120121617292.csv,-7.6348e-08
23,c_ALL_20210120121617692.csv,-8.9486e-08
24,c_ALL_20210120121618091.csv,-7.36025e-08
25,c_ALL_20210120121618492.csv,-1.0668025e-07
26,c_ALL_20210120121618891.csv,-1.340515e-07
27,c_ALL_20210120121619292.csv,-7.1178e-08
28,c_ALL_20210120121619691.csv,-7.69e-08
29,c_ALL_20210120121620092.csv,-6.3148e-08
30,c_ALL_20210120121620494.csv,-1.435445e-07
31,c_ALL_20210120121620891.csv,-5.1397e-08
32,c_ALL_20210120121621291.csv,-7.64715e-08
33,c_ALL_20210120121621692.csv,-6.24065e-08
34,c_ALL_20210120121622091.csv,-1.20073e-07
35,c_ALL_20210120121622495.csv,-1.05991e-07
36,c_ALL_20210120121622891.csv,-8.3139e-08
37,c_ALL_20210120121623292.csv,-7.3549e-08
38,c_ALL_20210120121623698.csv,-1.182085e-07
39,c_ALL_20210120121624092.csv,-1.33368e-07
40,c_ALL_20210120121624491.csv,-9.9789e-08
41,c_ALL_20210120121624903.csv,-1.1836575e-07
42,c_ALL_20210120121625299.csv,-5.8842e-08
43,c_ALL_20210120121625692.csv,-5.49765e-08
44,c_ALL_20210120121626091.csv,-1.165695e-07
45,c_ALL_20210120121626502.csv,-8.87455e-08
46,c_ALL_20210120121626891.csv,-1.25805e-07
47,c_ALL_20210120121627291.csv,-1.00289e-07
48,c_ALL_20210120121627691.csv,-7.6102e-08
49,c_ALL_20210120121628095.csv,-7.5717e-08
50,c_ALL_20210120121628503.csv,-1.221165e-07
51,c_ALL_20210120121628892.csv,-5.9071e-08
52,c_ALL_20210120121629292.csv,-4.9266e-08
53,c_ALL_20210120121629692.csv,-6.39385e-08
54,c_ALL_20210120121630091.csv,-1.309665e-07
55,c_ALL_20210120121630494.csv,-1.051705e-07
56,c_ALL_20210120121630891.csv,-9.884425e-08
57,c_ALL_20210120121631291.csv,-6.56945e-08
58,c_ALL_20210120121631691.csv,-1.191665e-07
59,c_ALL_20210120121632091.csv,-6.66195e-08
60,c_ALL_20210120121632491.csv,-7.22465e-08
61,c_ALL_20210120121632892.csv,-6.44085e-08
62,c_ALL_20210120121633292.csv,-5.68e-08
63,c_ALL_20210120121633692.csv,-1.181265e-07
64,c_ALL_20210120121634091.csv,-8.7083e-08
65,c_ALL_20210120121634497.csv,-1.282605e-07
66,c_ALL_20210120121634891.csv,-1.28221e-07
67,c_ALL_20210120121635292.csv,-5.0535e-08
68,c_ALL_20210120121635691.csv,-1.344325e-07
69,c_ALL_20210120121636095.csv,-8.6316e-08
70,c_ALL_20210120121636491.csv,-9.69185e-08
71,c_ALL_20210120121636891.csv,-1.007355e-07
72,c_ALL_20210120121637291.csv,-9.82095e-08
73,c_ALL_20210120121637692.csv,-1.353775e-07
74,c_ALL_20210120121638092.csv,-1.1166e-07
75,c_ALL_20210120121638492.csv,-7.920275e-08
76,c_ALL_20210120121638891.csv,-6.3151e-08
77,c_ALL_20210120121639292.csv,-5.6567e-08
78,c_ALL_20210120121639694.csv,-1.47318e-07
79,c_ALL_20210120121640092.csv,-7.0269e-08
80,c_ALL_20210120121640492.csv,-1.286165e-07
81,c_ALL_20210120121640892.csv,-7.237e-08
82,c_ALL_20210120121641294.csv,-1.04062e-07
83,c_ALL_20210120121641692.csv,-1.337135e-07
84,c_ALL_20210120121642091.csv,-5.36505e-08
85,c_ALL_20210120121642494.csv,-8.16725e-08
86,c_ALL_20210120121642891.csv,-1.237945e-07
87,c_ALL_20210120121643291.csv,-7.24185e-08
88,c_ALL_20210120121643691.csv,-1.311265e-07
89,c_ALL_20210120121644092.csv,-1.264395e-07
90,c_ALL_20210120121644492.csv,-7.95575e-08
91,c_ALL_20210120121644899.csv,-1.31325e-07
92,c_ALL_20210120121645291.csv,-1.05184e-07
93,c_ALL_20210120121645692.csv,-9.20025e-08
94,c_ALL_20210120121646091.csv,-1.419015e-07
95,c_ALL_20210120121646503.csv,-1.05661e-07
96,c_ALL_20210120121646893.csv,-6.0636e-08
97,c_ALL_20210120121647305.csv,-1.35843e-07
98,c_ALL_20210120121647704.csv,-4.82695e-08
99,c_ALL_20210120121648098.csv,-7.87945e-08
100,c_ALL_20210120121648499.csv,-6.54235e-08
101,c_ALL_20210120121648893.csv,-1.26518e-07
102,c_ALL_20210120121649291.csv,-1.334235e-07
103,c_ALL_20210120121649692.csv,-1.377055e-07
104,c_ALL_20210120121650092.csv,-9.98705e-08
105,c_ALL_20210120121650492.csv,-1.089735e-07
106,c_ALL_20210120121650893.csv,-1.315185e-07
107,c_ALL_20210120121651292.csv,-1.181135e-07
108,c_ALL_20210120121651691.csv,-1.090675e-07
109,c_ALL_20210120121652092.csv,-1.141475e-07
110,c_ALL_20210120121652493.csv,-8.03525e-08
111,c_ALL_20210120121652892.csv,-1.42923e-07
112,c_ALL_20210120121653291.csv,-1.04761e-07
113,c_ALL_20210120121653692.csv,-1.199415e-07
114,c_ALL_20210120121654092.csv,-1.02814e-07
115,c_ALL_20210120121654492.csv,-4.02225e-08
116,c_ALL_20210120121654892.csv,-5.60815e-08
117,c_ALL_20210120121655291.csv,-9.6222e-08
118,c_ALL_20210120121655691.csv,-6.72935e-08
119,c_ALL_20210120121656092.csv,-1.3018225e-07
120,c_ALL_20210120121656493.csv,-1.442735e-07
121,c_ALL_20210120121656895.csv,-1.258885e-07
122,c_ALL_20210120121657291.csv,-8.40795e-08
123,c_ALL_20210120121657692.csv,-1.195225e-07
124,c_ALL_20210120121658092.csv,-5.98975e-08
125,c_ALL_20210120121658492.csv,-1.00876e-07
126,c_ALL_20210120121658892.csv,-6.37525e-08
127,c_ALL_20210120121659293.csv,-6.6174e-08
128,c_ALL_20210120121659691.csv,-1.38327e-07
129,c_ALL_20210120121700095.csv,-7.26695e-08
130,c_ALL_20210120121700500.csv,-9.39735e-08
131,c_ALL_20210120121700897.csv,-9.15135e-08
132,c_ALL_20210120121701292.csv,-1.177575e-07
133,c_ALL_20210120121701692.csv,-1.2702e-07
134,c_ALL_20210120121702092.csv,-7.8841e-08
135,c_ALL_20210120121702492.csv,-1.319095e-07
136,c_ALL_20210120121702896.csv,-1.035105e-07
137,c_ALL_20210120121703293.csv,-9.8206e-08
138,c_ALL_20210120121703692.csv,-1.01163e-07
139,c_ALL_20210120121704091.csv,-9.6021e-08
140,c_ALL_20210120121704504.csv,-7.86265e-08
141,c_ALL_20210120121704904.csv,-1.18327e-07
142,c_ALL_20210120121705292.csv,-1.10639e-07
143,c_ALL_20210120121705699.csv,-9.220525e-08
144,c_ALL_20210120121706092.csv,-1.28755e-07
145,c_ALL_20210120121706492.csv,-5.7462e-08
146,c_ALL_20210120121706892.csv,-5.60775e-08
147,c_ALL_20210120121707292.csv,-1.214285e-07
148,c_ALL_20210120121707691.csv,-1.042885e-07
149,c_ALL_20210120121708092.csv,-1.08909e-07
150,c_ALL_20210120121708491.csv,-5.34605e-08
151,c_ALL_20210120121708896.csv,-1.1885675e-07
152,c_ALL_20210120121709292.csv,-1.029035e-07
153,c_ALL_20210120121709692.csv,-5.076e-08
154,c_ALL_20210120121710092.csv,-8.3904e-08
155,c_ALL_20210120121710492.csv,-7.61595e-08
156,c_ALL_20210120121710901.csv,-1.28984e-07
157,c_ALL_20210120121711292.csv,-9.45425e-08
158,c_ALL_20210120121711692.csv,-9.93805e-08
159,c_ALL_20210120121712092.csv,-1.30338e-07
160,c_ALL_20210120121712505.csv,-1.025485e-07
161,c_ALL_20210120121712902.csv,-9.14065e-08
162,c_ALL_20210120121713295.csv,-1.277725e-07
163,c_ALL_20210120121713698.csv,-9.67085e-08
164,c_ALL_20210120121714095.csv,-1.276685e-07
165,c_ALL_20210120121714493.csv,-1.01319e-07
166,c_ALL_20210120121714896.csv,-1.281945e-07
167,c_ALL_20210120121715294.csv,-1.117025e-07
168,c_ALL_20210120121715691.csv,-1.00859e-07
169,c_ALL_20210120121716098.csv,-9.2263e-08
170,c_ALL_20210120121716492.csv,-8.8876e-08
171,c_ALL_20210120121716895.csv,-8.94695e-08
172,c_ALL_20210120121717291.csv,-1.658405e-07
173,c_ALL_20210120121717692.csv,-6.9436e-08
174,c_ALL_20210120121718091.csv,-1.38602e-07
175,c_ALL_20210120121718496.csv,-9.8156e-08
176,c_ALL_20210120121718892.csv,-9.55655e-08
177,c_ALL_20210120121719292.csv,-1.209085e-07
178,c_ALL_20210120121719692.csv,-1.205305e-07
179,c_ALL_20210120121720092.csv,-1.012485e-07
180,c_ALL_20210120121720491.csv,-1.19991e-07
181,c_ALL_20210120121720893.csv,-1.118245e-07
182,c_ALL_20210120121721291.csv,-8.8427e-08
183,c_ALL_20210120121721692.csv,-1.316065e-07
184,c_ALL_20210120121722092.csv,-1.09415e-07
185,c_ALL_20210120121722494.csv,-1.167225e-07
186,c_ALL_20210120121722895.csv,-1.2816175e-07
