,Filename,ReInjected_Charges
0,tension_ALL_20200702115102630.csv,6.6936e-07
1,tension_ALL_20200702115115625.csv,6.16201e-07
2,tension_ALL_20200702115116625.csv,6.50881e-07
3,tension_ALL_20200702115119626.csv,6.06565e-07
4,tension_ALL_20200702115120640.csv,6.969345e-07
5,tension_ALL_20200702115126641.csv,6.66933e-07
6,tension_ALL_20200702115127626.csv,7.04356e-07
7,tension_ALL_20200702115132630.csv,6.54002e-07
8,tension_ALL_20200702115139626.csv,6.339045e-07
9,tension_ALL_20200702115141626.csv,6.73271e-07
10,tension_ALL_20200702115143625.csv,7.52464e-07
11,tension_ALL_20200702115148636.csv,6.927595e-07
12,tension_ALL_20200702115150636.csv,7.014695e-07
13,tension_ALL_20200702115152636.csv,7.312525e-07
14,tension_ALL_20200702115153626.csv,6.57657e-07
15,tension_ALL_20200702115156625.csv,6.90109e-07
16,tension_ALL_20200702115157625.csv,7.012305e-07
17,tension_ALL_20200702115201626.csv,7.12904e-07
18,tension_ALL_20200702115205637.csv,6.908745e-07
19,tension_ALL_20200702115208632.csv,7.0283e-07
20,tension_ALL_20200702115218642.csv,7.00621e-07
21,tension_ALL_20200702115220626.csv,7.59719e-07
22,tension_ALL_20200702115222630.csv,7.678205e-07
23,tension_ALL_20200702115226639.csv,7.28099e-07
24,tension_ALL_20200702115227636.csv,8.01277e-07
25,tension_ALL_20200702115233626.csv,6.68563e-07
26,tension_ALL_20200702115236626.csv,6.93994e-07
27,tension_ALL_20200702115237628.csv,6.8293e-07
28,tension_ALL_20200702115239630.csv,6.81202e-07
29,tension_ALL_20200702115240632.csv,7.021225e-07
30,tension_ALL_20200702115241628.csv,7.247235e-07
31,tension_ALL_20200702115245639.csv,6.806915e-07
32,tension_ALL_20200702115246639.csv,6.746895e-07
33,tension_ALL_20200702115247632.csv,7.740715e-07
34,tension_ALL_20200702115248631.csv,7.126615e-07
35,tension_ALL_20200702115250636.csv,6.83379e-07
36,tension_ALL_20200702115251627.csv,7.734755e-07
37,tension_ALL_20200702115254631.csv,6.7725e-07
