,Filename,ReInjected_Charges
0,tension_ALL_20200630101320278.csv,3.60555e-08
1,tension_ALL_20200630101321282.csv,5.78439e-08
2,tension_ALL_20200630101322278.csv,3.80034e-08
3,tension_ALL_20200630101323279.csv,2.12976e-08
4,tension_ALL_20200630101324279.csv,4.50477e-08
5,tension_ALL_20200630101325279.csv,4.30194e-08
6,tension_ALL_20200630101326283.csv,3.88833e-08
7,tension_ALL_20200630101327283.csv,4.45515e-08
8,tension_ALL_20200630101328277.csv,3.02964e-08
9,tension_ALL_20200630101329291.csv,4.48968e-08
10,tension_ALL_20200630101330278.csv,6.51294e-08
11,tension_ALL_20200630101331280.csv,6.78576e-08
12,tension_ALL_20200630101332278.csv,3.52551e-08
13,tension_ALL_20200630101333289.csv,3.96276e-08
14,tension_ALL_20200630101334293.csv,5.7414e-08
15,tension_ALL_20200630101335277.csv,4.63098e-08
16,tension_ALL_20200630101336287.csv,5.87547e-08
17,tension_ALL_20200630101337283.csv,5.41212e-08
18,tension_ALL_20200630101338279.csv,3.68835e-08
19,tension_ALL_20200630101339277.csv,5.74005e-08
20,tension_ALL_20200630101340284.csv,3.8142e-08
21,tension_ALL_20200630101341277.csv,3.7989e-08
22,tension_ALL_20200630101342278.csv,4.32444e-08
23,tension_ALL_20200630101343278.csv,4.75614e-08
24,tension_ALL_20200630101344278.csv,4.56225e-08
25,tension_ALL_20200630101345281.csv,5.06205e-08
26,tension_ALL_20200630101346291.csv,4.04502e-08
27,tension_ALL_20200630101347281.csv,5.35158e-08
28,tension_ALL_20200630101348280.csv,5.65479e-08
29,tension_ALL_20200630101349280.csv,5.41587e-08
30,tension_ALL_20200630101350278.csv,5.29704e-08
31,tension_ALL_20200630101351283.csv,7.55955e-08
32,tension_ALL_20200630101352278.csv,3.28209e-08
33,tension_ALL_20200630101353279.csv,3.52467e-08
34,tension_ALL_20200630101354278.csv,3.53097e-08
35,tension_ALL_20200630101355280.csv,5.15874e-08
36,tension_ALL_20200630101356283.csv,4.78317e-08
37,tension_ALL_20200630101357286.csv,6.70275e-08
38,tension_ALL_20200630101358278.csv,6.96078e-08
39,tension_ALL_20200630101359283.csv,6.76668e-08
40,tension_ALL_20200630101400285.csv,5.48259e-08
41,tension_ALL_20200630101401283.csv,8.88231e-08
42,tension_ALL_20200630101402278.csv,6.46293e-08
43,tension_ALL_20200630101403288.csv,4.63962e-08
44,tension_ALL_20200630101404278.csv,5.06892e-08
45,tension_ALL_20200630101405278.csv,4.70706e-08
46,tension_ALL_20200630101406286.csv,6.0606e-08
47,tension_ALL_20200630101407294.csv,4.67526e-08
48,tension_ALL_20200630101408278.csv,6.1884e-08
49,tension_ALL_20200630101409283.csv,5.45307e-08
50,tension_ALL_20200630101410291.csv,5.92947e-08
51,tension_ALL_20200630101411279.csv,4.91052e-08
52,tension_ALL_20200630101412278.csv,5.39394e-08
53,tension_ALL_20200630101413282.csv,5.85192e-08
54,tension_ALL_20200630101414278.csv,4.46571e-08
55,tension_ALL_20200630101415285.csv,8.05254e-08
56,tension_ALL_20200630101416278.csv,6.29442e-08
57,tension_ALL_20200630101417295.csv,5.95785e-08
58,tension_ALL_20200630101418278.csv,7.81287e-08
59,tension_ALL_20200630101419282.csv,6.57645e-08
60,tension_ALL_20200630101420278.csv,5.60454e-08
61,tension_ALL_20200630101421291.csv,7.79871e-08
62,tension_ALL_20200630101422278.csv,5.41092e-08
63,tension_ALL_20200630101423294.csv,7.0761e-08
64,tension_ALL_20200630101424278.csv,5.14032e-08
65,tension_ALL_20200630101425288.csv,6.34677e-08
66,tension_ALL_20200630101426278.csv,7.67031e-08
