,Plateau
0,2.0896e-07
1,2.096e-07
2,2.08e-07
3,1.9392e-07
4,2.1472e-07
5,1.9232e-07
6,1.9616e-07
7,1.8048e-07
8,2.1183999999999997e-07
9,2.1567999999999998e-07
10,2.1247999999999998e-07
11,2.2624000000000002e-07
12,2.0224e-07
13,2.2015999999999998e-07
14,2.1568e-07
15,2.1919999999999998e-07
16,1.8944e-07
17,2.0959999999999997e-07
18,2.048e-07
19,2.0352e-07
20,2.0544e-07
21,2.0959999999999997e-07
22,2.1952e-07
23,2.4000000000000003e-07
24,2.0192e-07
25,2.3072000000000002e-07
26,2.0608e-07
27,2.1088e-07
28,2.064e-07
29,2.0864e-07
30,2.0768000000000002e-07
31,2.1824000000000003e-07
32,2.1984e-07
33,2.1216000000000002e-07
34,2.2304000000000002e-07
35,2.0959999999999997e-07
36,2.1056e-07
37,2.0768e-07
38,2.2111999999999998e-07
39,2.2304000000000002e-07
40,1.9648000000000002e-07
41,2.0736000000000003e-07
42,2.2336e-07
43,2.1343999999999998e-07
44,2.1696e-07
45,2.1119999999999999e-07
46,2.0703999999999998e-07
47,2.1312e-07
48,2.0959999999999997e-07
49,2.2944e-07
50,2.0096e-07
51,2.1984e-07
52,2.2304000000000002e-07
53,2.0703999999999998e-07
54,2.2112e-07
55,2.1664e-07
56,2.1504000000000003e-07
57,2.2720000000000002e-07
58,2.1216e-07
59,1.8944e-07
60,2.0896e-07
61,1.8784e-07
62,2.1408000000000002e-07
63,2.0992000000000002e-07
64,2.1472e-07
65,2.08e-07
66,2.2368e-07
67,2.1568000000000004e-07
68,2.4256e-07
69,2.0448000000000002e-07
70,1.9168e-07
71,1.9552e-07
72,1.8688e-07
73,1.9615999999999998e-07
74,2.1023999999999998e-07
75,2.2336e-07
76,2.1376e-07
77,2.2912e-07
78,2.2528000000000002e-07
79,2.2367999999999998e-07
80,2.2015999999999998e-07
81,2.1632e-07
82,2.5568e-07
83,1.9904000000000001e-07
84,2.3103999999999998e-07
85,2.1055999999999997e-07
86,
87,1.952e-07
88,2.1024e-07
89,1.9968e-07
90,2.2816e-07
91,1.8495999999999998e-07
92,2.112e-07
93,2.1183999999999997e-07
94,2.4128e-07
95,2.3072e-07
96,2.0192e-07
97,2.2080000000000002e-07
98,2.2527999999999996e-07
99,2.3264e-07
100,2.2176e-07
101,2.3488e-07
102,2.1024e-07
103,2.0064e-07
104,2.1472e-07
105,2.0575999999999998e-07
106,2.3968e-07
107,2.3264000000000002e-07
108,2.2367999999999998e-07
109,2.2752000000000002e-07
110,2.1056e-07
111,1.8944e-07
112,1.9648e-07
113,2.0928e-07
114,2.2400000000000002e-07
115,2.0832e-07
116,2.2048000000000003e-07
117,2.032e-07
118,2.1216e-07
119,2.3648e-07
120,2.8224e-07
121,2.304e-07
122,2.1344e-07
123,2.496e-07
124,2.2239999999999998e-07
125,2.2848e-07
126,2.3072000000000002e-07
127,2.3007999999999998e-07
128,2.1919999999999998e-07
129,2.3008e-07
130,2.3391999999999997e-07
131,2.4288e-07
132,2.2400000000000002e-07
133,2.1024e-07
134,2.6976e-07
135,2.1375999999999998e-07
136,2.2176000000000002e-07
137,2.0064e-07
138,2.1280000000000003e-07
139,2.0288e-07
140,2.0864e-07
141,1.9776e-07
142,2.1663999999999999e-07
143,2.064e-07
144,2.1312000000000002e-07
145,2.3264e-07
146,2.0352e-07
147,2.2912000000000003e-07
148,1.9584e-07
149,2.3968e-07
150,2.5183999999999996e-07
151,2.2368e-07
152,2.5472e-07
153,2.2720000000000002e-07
154,2.7616e-07
155,2.2368000000000003e-07
156,2.1696e-07
157,2.4352e-07
158,2.3264e-07
159,2.2559999999999998e-07
160,2.2080000000000002e-07
161,2.3296000000000002e-07
162,2.2112e-07
163,2.0416e-07
164,2.2912e-07
165,2.0320000000000002e-07
166,2.5184e-07
167,1.9456e-07
168,1.936e-07
169,2.2624e-07
170,2.2464e-07
171,2.1152e-07
172,2.1216000000000002e-07
173,2.0256e-07
174,2.4000000000000003e-07
175,2.368e-07
176,2.2976000000000001e-07
177,2.2272000000000002e-07
178,1.9264e-07
179,2.1088000000000002e-07
180,2.2911999999999998e-07
181,2.3264e-07
182,2.6112e-07
183,2.1984e-07
184,1.8816e-07
185,2.0096e-07
186,2.1088e-07
187,2.1376e-07
188,2.2752000000000002e-07
189,1.8719999999999998e-07
190,2.3744000000000001e-07
191,2.1440000000000001e-07
192,1.9456000000000002e-07
193,2.4384000000000004e-07
194,2.5568e-07
195,1.9968e-07
196,2.0192e-07
197,2.1984000000000002e-07
198,2.3808e-07
199,2.3360000000000003e-07
200,2.1567999999999998e-07
201,2.5888000000000005e-07
202,2.448e-07
203,2.1376000000000003e-07
204,2.6912e-07
205,2.544e-07
206,2.5408e-07
207,2.4096e-07
208,2.3167999999999997e-07
209,2.3072e-07
210,1.7856e-07
211,2.1823999999999997e-07
212,2.0864e-07
213,2.3775999999999998e-07
214,2.5536e-07
215,2.2528000000000002e-07
216,2.1376000000000003e-07
217,2.6528e-07
218,2.1855999999999997e-07
219,2.5216000000000006e-07
220,2.2144e-07
221,2.5024e-07
222,2.1152e-07
223,3.2096000000000004e-07
224,2.2112e-07
225,2.08e-07
226,2.7072000000000003e-07
227,2.736e-07
228,2.2176e-07
229,2.4640000000000004e-07
230,2.5408e-07
231,2.3392000000000002e-07
232,2.6272e-07
233,2.48e-07
234,2.3232e-07
235,2.4384e-07
236,2.3808e-07
237,2.8736e-07
238,2.5824e-07
239,2.272e-07
240,2.2592e-07
241,2.1216000000000002e-07
242,2.4224e-07
243,2.1728e-07
244,2.4255999999999997e-07
245,2.2495999999999997e-07
246,2.4224e-07
247,2.6368e-07
248,2.128e-07
249,2.4e-07
250,2.4544e-07
251,2.6016e-07
252,2.0512000000000003e-07
253,2.1919999999999998e-07
254,2.3103999999999998e-07
255,2.528e-07
256,2.496e-07
257,2.2048000000000003e-07
258,2.0416e-07
259,2.416e-07
260,2.5152e-07
261,2.2688e-07
262,2.9984e-07
263,2.2464000000000003e-07
264,3.3856e-07
265,2.0416e-07
266,2.9824e-07
267,2.0544000000000002e-07
268,2.4384000000000004e-07
269,2.3488000000000002e-07
270,2.6944e-07
271,2.6784e-07
272,2.7520000000000003e-07
273,2.7616e-07
274,2.2816e-07
275,2.9920000000000003e-07
276,2.496e-07
277,2.8511999999999995e-07
278,2.5088e-07
279,3.424e-07
280,3.7056e-07
281,2.6912e-07
282,1.9936e-07
283,2.1024e-07
284,2.3648e-07
285,2.4128e-07
286,2.352e-07
287,3.0847999999999997e-07
288,2.7552e-07
289,3.0847999999999997e-07
290,2.2304000000000002e-07
291,2.5599999999999996e-07
292,2.1088e-07
293,3.0944e-07
294,2.1856e-07
295,2.56e-07
296,2.3136e-07
297,3.2448e-07
298,2.1088e-07
299,3.552e-07
300,2.3744e-07
301,2.0352e-07
302,2.3552000000000003e-07
303,2.1408000000000002e-07
304,2.5280000000000004e-07
305,2.4287999999999996e-07
306,2.6047999999999996e-07
307,2.5824e-07
308,2.9920000000000003e-07
309,2.5888e-07
310,3.5072e-07
311,2.224e-07
312,2.7616e-07
313,
314,2.5184e-07
315,2.7232000000000005e-07
316,2.3039999999999997e-07
317,3.4335999999999997e-07
318,2.3072e-07
319,2.7392e-07
320,2.8288e-07
321,2.1408e-07
322,2.2783999999999998e-07
323,2.88e-07
324,2.4288e-07
325,3.2896e-07
326,3.8335999999999996e-07
327,2.2176e-07
328,3.8912000000000003e-07
329,2.4064e-07
330,2.3775999999999998e-07
331,2.4544e-07
332,2.4192e-07
333,3.5104e-07
334,2.4672e-07
335,2.2848e-07
336,2.7456000000000004e-07
337,2.5343999999999997e-07
338,2.8448e-07
339,2.1984000000000002e-07
340,2.2528e-07
341,2.8863999999999997e-07
342,3.5776000000000005e-07
343,2.8096e-07
344,4.3328e-07
345,3.888e-07
346,3.7344000000000004e-07
347,2.432e-07
348,4.0095999999999996e-07
349,3.4848e-07
350,3.0208e-07
351,2.1248000000000003e-07
352,2.8384e-07
353,2.8992e-07
354,3.7664e-07
355,2.7424e-07
356,2.6912e-07
357,2.8447999999999996e-07
358,2.5088e-07
359,2.8608000000000003e-07
360,3.7952e-07
361,2.6272e-07
362,2.2431999999999999e-07
363,2.3904e-07
364,2.9088e-07
365,2.4608e-07
366,2.3040000000000002e-07
367,2.8448e-07
368,2.1248e-07
369,3.0816e-07
370,2.2783999999999998e-07
371,2.5312e-07
372,3.4592e-07
373,3.8400000000000005e-07
374,3.3247999999999997e-07
375,2.5184e-07
376,2.7424e-07
377,2.432e-07
378,2.0672e-07
379,2.3904e-07
380,2.6272e-07
381,3.7696e-07
382,2.6048e-07
383,2.4543999999999995e-07
384,2.6336e-07
385,2.3455999999999998e-07
386,3.9232e-07
387,3.2064e-07
388,2.6239999999999997e-07
389,2.6176000000000004e-07
390,4.8576e-07
391,3.4336e-07
392,3.0528e-07
393,3.5008e-07
394,
395,
396,
397,
398,
399,
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,
411,
412,
413,
414,
415,
416,4.0864e-07
417,
418,
419,
420,
421,
422,2.9024e-07
423,3.6000000000000005e-07
424,3.1296e-07
425,
426,5.2512e-07
427,4.4416e-07
428,2.944e-07
429,2.9568e-07
430,
431,
432,4.9056e-07
433,3.8144e-07
434,2.7999999999999997e-07
435,3.9712e-07
436,3.1807999999999995e-07
437,4.844800000000001e-07
438,2.624e-07
439,2.3551999999999998e-07
440,2.6944e-07
441,
442,3.8688e-07
443,2.6272e-07
444,2.6208e-07
445,2.5696e-07
446,3.1295999999999996e-07
447,3.5072e-07
448,2.2304000000000002e-07
449,3.0112e-07
450,
451,
452,4.3424e-07
453,
454,
455,
456,
457,
458,2.7680000000000004e-07
459,3.6128e-07
460,2.3775999999999998e-07
461,2.9472e-07
462,3.4367999999999996e-07
463,3.1744e-07
464,
465,
466,
467,3.504e-07
468,2.8992e-07
469,3.9168e-07
470,3.9552e-07
471,4.4768e-07
472,2.368e-07
473,2.608e-07
474,2.9535999999999997e-07
475,2.4864e-07
476,4.0864000000000004e-07
477,3.4143999999999997e-07
478,2.7936e-07
479,2.9087999999999997e-07
480,4.4128e-07
481,3.7536e-07
482,3.4144e-07
483,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,5.2832e-07
497,2.6624000000000003e-07
498,3.3888000000000003e-07
499,
500,
501,
502,
503,
504,
505,
506,4.4192000000000003e-07
507,
508,3.1008e-07
509,2.2239999999999998e-07
510,4.8672e-07
511,3.1744e-07
512,3.3024e-07
513,2.3744000000000004e-07
514,4.505599999999999e-07
515,2.2431999999999999e-07
516,2.2496000000000002e-07
517,2.72e-07
518,2.8032e-07
519,3.12e-07
520,3.2096e-07
521,4.3264e-07
522,2.7264e-07
523,
524,
525,2.8447999999999996e-07
526,
527,2.7296000000000003e-07
528,2.7904e-07
529,2.32e-07
530,2.8e-07
531,3.0464e-07
532,3.1392e-07
533,2.9951999999999997e-07
534,2.912e-07
535,2.7072e-07
536,2.6592e-07
537,3.488e-07
538,3.408e-07
539,
540,
541,
542,
543,
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,4.4863999999999997e-07
554,3.904e-07
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,2.6848e-07
575,2.5696e-07
576,2.896e-07
577,2.032e-07
578,2.064e-07
579,4.048e-07
580,3.1967999999999996e-07
581,2.8608000000000003e-07
582,3.3728e-07
583,3.9391999999999997e-07
584,2.2784e-07
585,2.4991999999999995e-07
586,2.7744e-07
587,
588,
589,
590,
591,
