,ID,Mean
0,0.0,19003.735846693387
1,500.0,18843.137775551102
2,1000.0,18529.775551102204
3,1500.0,18461.918336673345
4,2000.0,18240.991107214428
5,2500.0,18112.319764529057
6,3000.0,17700.19726953908
7,3500.0,18110.30135270541
8,4000.0,17915.060996993987
9,4500.0,18044.594814629258
10,5000.0,18325.820891783565
11,5500.0,17962.681738476953
12,6000.0,18078.924348697394
13,6500.0,18051.17773046092
14,7000.0,18209.186998997997
15,7500.0,18359.936873747494
16,8000.0,18484.162199398797
17,8500.0,18346.309493987977
18,9000.0,18446.590806613225
19,9500.0,18547.512775551102
20,10000.0,18601.035821643287
21,10500.0,18341.366107214428
22,11000.0,18535.327905811624
23,11500.0,18633.389654308616
24,12000.0,18718.190506012023
25,12500.0,18668.992234468937
26,13000.0,18791.781938877757
27,13500.0,18950.284443887776
28,14000.0,18676.586422845692
29,14500.0,18801.894664328658
30,15000.0,18790.393161322645
31,15500.0,18864.290455911825
32,16000.0,18997.936873747494
33,16500.0,18937.465806613225
34,17000.0,18872.300726452904
35,17500.0,19475.20378256513
36,18000.0,19634.88977955912
37,18500.0,19569.518036072146
38,19000.0,19583.98997995992
39,19500.0,19607.95465931864
40,20000.0,19597.946643286574
41,20500.0,19668.090931863728
42,21000.0,19735.34744488978
43,21500.0,19738.721568136272
44,22000.0,19774.596943887776
45,22500.0,19859.86485470942
46,23000.0,19824.590180360723
47,23500.0,19888.78118737475
48,24000.0,19879.428982965932
49,24500.0,19859.30273046092
50,25000.0,19908.509268537073
51,25500.0,19982.44789579158
52,26000.0,19984.376753507015
53,26500.0,19996.67777777778
54,27000.0,20077.041833667336
55,27500.0,20076.273046092185
56,28000.0,20107.222945891783
57,28500.0,20070.507139278558
58,29000.0,20037.65825803213
59,29500.0,20027.080697791163
60,30000.0,19984.92783634538
61,30500.0,19851.013338414636
62,31000.0,19754.05068597561
63,31500.0,19590.565488565488
64,32000.0,19560.38909978308
65,32500.0,19382.376121076235
66,33000.0,19203.56942806604
67,33500.0,19210.90120967742
68,34000.0,18943.823863636364
69,34500.0,18795.858333333334
70,35000.0,18586.4796686747
71,35500.0,18387.0475
72,36000.0,18218.38621076233
73,36500.0,18286.04454787234
74,37000.0,17732.187888198758
75,37500.0,18219.055555555555
