,ID,Mean
0,0.0,9.138108955190908e-06
1,100.0,8.753446017395959e-06
2,200.0,8.481194061027172e-06
3,300.0,8.27477725575192e-06
4,400.0,8.129805777637071e-06
5,500.0,7.82673135465798e-06
6,600.0,7.68443182996596e-06
7,700.0,7.523778609006565e-06
8,800.0,7.394933641414243e-06
9,900.0,7.354237909231111e-06
10,1000.0,7.042983642395859e-06
11,1100.0,6.926849222783434e-06
12,1200.0,6.848120349747272e-06
13,1300.0,6.8058843169191915e-06
14,1400.0,6.649721218715253e-06
15,1500.0,6.440074880611616e-06
16,1600.0,6.339269312148989e-06
17,1700.0,6.210427545033535e-06
18,1800.0,6.0948095921724234e-06
19,1900.0,5.908070637485961e-06
20,2000.0,5.964799567760909e-06
21,2100.0,5.798234258557678e-06
22,2200.0,5.7823002741299e-06
23,2300.0,5.69525666961293e-06
24,2400.0,5.613749952580806e-06
25,2500.0,5.614636306537577e-06
26,2600.0,5.302985318182122e-06
27,2700.0,5.184062700195859e-06
28,2800.0,5.1081573094838385e-06
29,2900.0,5.146387999859999e-06
30,3000.0,5.267438420455152e-06
31,3100.0,5.055565861812324e-06
32,3200.0,4.9959917021607074e-06
33,3300.0,4.767998994949596e-06
34,3400.0,4.724664101571717e-06
35,3500.0,4.600309307519193e-06
36,3600.0,4.643968511504242e-06
37,3700.0,4.692433983726162e-06
38,3800.0,4.4293998661622225e-06
39,3900.0,4.421158096428485e-06
40,4000.0,4.3662573451179804e-06
41,4100.0,4.181279572670706e-06
42,4200.0,4.1897385799661615e-06
43,4300.0,4.204465692480808e-06
44,4400.0,4.161342352412828e-06
45,4500.0,4.140211748316262e-06
46,4600.0,4.162219257295455e-06
47,4700.0,4.026969243265859e-06
48,4800.0,4.055509637205556e-06
49,4900.0,3.994204104376969e-06
50,5000.0,3.932623988776565e-06
51,5100.0,3.832853794051919e-06
52,5200.0,3.8141259604379793e-06
53,5300.0,3.936487367845252e-06
54,5400.0,3.870457896464545e-06
55,5500.0,3.662053822110576e-06
56,5600.0,3.6931629090910104e-06
57,5700.0,3.5032481161612825e-06
58,5800.0,3.546854107182728e-06
59,5900.0,3.4628055058920507e-06
60,6000.0,3.3821383602691612e-06
61,6100.0,3.242524279461283e-06
62,6200.0,3.34058822138e-06
63,6300.0,3.360247368686464e-06
64,6400.0,3.2607918375424235e-06
65,6500.0,3.1143711203699692e-06
66,6600.0,3.0729347685187176e-06
67,6700.0,2.972331670033798e-06
68,6800.0,3.010986510100717e-06
69,6900.0,3.2250657584173432e-06
70,7000.0,3.035429569865313e-06
71,7100.0,3.01100960774401e-06
72,7200.0,2.8195035622898092e-06
73,7300.0,3.1945974015151515e-06
74,7400.0,2.674486001683464e-06
75,7500.0,2.957601005892121e-06
76,7600.0,2.6655565084170406e-06
77,7700.0,2.6520998358588795e-06
78,7800.0,2.4383826329959696e-06
79,7900.0,2.499866550387349e-06
