,x_max,y_max,x_min,y_min
0,24.993000000000002,0.00615988669876,3.986,0.00436637986445
1,54.983999999999995,0.006557049247239999,32.985,0.00471866720676
2,84.98100000000001,0.007263785112,62.993,0.00560980382995
3,103.995,0.0070630548791,93.98299999999999,0.00573113721238
4,146.984,0.00722682839388,127.991,0.005828963835890001
5,166.993,0.0073726011116999985,161.982,0.006326918955229999
6,201.993,0.00719716721879,181.982,0.006252678112830001
7,228.987,0.00739357706983,211.995,0.0063492695365
8,264.985,0.007337135626629999,249.988,0.00633261614067
9,285.99,0.0072404883695699985,278.982,0.00619859592811
10,304.993,0.00708741620104,327.983,0.005773240118279999
11,349.996,0.00701953705668,350.991,0.004696806170930001
12,363.994,0.006921395642220001,385.986,0.00474665049361
13,396.99199999999996,0.00709982045713,407.983,0.00385249064585
14,438.99300000000005,0.00708038006469,423.99,0.000913429616137
15,459.994,0.00709204315789,468.983,0.00378640408135
16,489.983,0.007147203710760002,496.99199999999996,0.00390503916822
17,513.9830000000001,0.00684618828163,533.987,0.00122230146844
18,543.984,0.00682835678886,539.984,0.0012310618733900002
19,592.997,0.0068799070791,581.995,0.0010599535837
20,625.984,0.00702684977404,599.984,0.00132484117755
21,632.984,0.00671307690986,638.995,0.00119274437697
22,660.9960000000001,0.0067442789986,661.995,0.00382788030474
23,701.995,0.00686716823182,707.9839999999999,0.00131331971636
24,730.985,0.00664947977004,743.998,0.000600233392172
25,764.99,0.00106924275562,767.993,0.0008321600678869999
26,804.99,0.00109184225219,779.9889999999999,0.0008024721099999999
27,832.0,0.00108869201815,835.9910000000001,0.000850847283275
