,Filename,Plateau
0,c_ALL_20210603100240174.csv,2.1136e-07
1,c_ALL_20210603100240635.csv,2.2592e-07
2,c_ALL_20210603100240985.csv,2.232e-07
3,c_ALL_20210603100251689.csv,2.2016e-07
4,c_ALL_20210603100252008.csv,2.2176e-07
5,c_ALL_20210603100252341.csv,2.1056e-07
6,c_ALL_20210603100252674.csv,2.5184e-07
7,c_ALL_20210603100253008.csv,2.4064e-07
8,c_ALL_20210603100253348.csv,2.0624e-07
9,c_ALL_20210603100253674.csv,2.2944e-07
10,c_ALL_20210603100254010.csv,2.3072e-07
11,c_ALL_20210603100254352.csv,2.4656e-07
12,c_ALL_20210603100254678.csv,2.5216e-07
13,c_ALL_20210603100255009.csv,2.1856e-07
14,c_ALL_20210603100255341.csv,2.5104e-07
15,c_ALL_20210603100255675.csv,2.1632e-07
16,c_ALL_20210603100256008.csv,1.9248e-07
17,c_ALL_20210603100256344.csv,2.5408e-07
18,c_ALL_20210603100256677.csv,2.4464e-07
19,c_ALL_20210603100257011.csv,2.5984e-07
20,c_ALL_20210603100257342.csv,2.4112e-07
21,c_ALL_20210603100257675.csv,2.7072e-07
22,c_ALL_20210603100258008.csv,2.4816e-07
23,c_ALL_20210603100258341.csv,2.4192e-07
24,c_ALL_20210603100258677.csv,2.3584e-07
25,c_ALL_20210603100259007.csv,2.3888e-07
26,c_ALL_20210603100259341.csv,2.3248e-07
27,c_ALL_20210603100259678.csv,2.5168e-07
28,c_ALL_20210603100300008.csv,2.2256e-07
29,c_ALL_20210603100300343.csv,2.5904e-07
30,c_ALL_20210603100300674.csv,2.2112e-07
31,c_ALL_20210603100301007.csv,2.28e-07
32,c_ALL_20210603100301346.csv,2.8496e-07
33,c_ALL_20210603100301675.csv,2.3728e-07
34,c_ALL_20210603100302007.csv,2.824e-07
35,c_ALL_20210603100302353.csv,2.3168e-07
36,c_ALL_20210603100302674.csv,2.1696e-07
37,c_ALL_20210603100303014.csv,2.6256e-07
38,c_ALL_20210603100303349.csv,2.344e-07
39,c_ALL_20210603100303688.csv,2.5616e-07
40,c_ALL_20210603100304012.csv,3.0192e-07
41,c_ALL_20210603100304343.csv,2.7744e-07
42,c_ALL_20210603100304674.csv,2.8352e-07
43,c_ALL_20210603100305008.csv,2.2e-07
44,c_ALL_20210603100305343.csv,2.1824e-07
45,c_ALL_20210603100305673.csv,2.2928e-07
46,c_ALL_20210603100306008.csv,2.344e-07
47,c_ALL_20210603100306341.csv,2.6928e-07
48,c_ALL_20210603100306678.csv,2.7072e-07
49,c_ALL_20210603100307011.csv,2.5152e-07
50,c_ALL_20210603100307341.csv,2.4832e-07
51,c_ALL_20210603100307674.csv,2.8784e-07
52,c_ALL_20210603100308008.csv,2.5616e-07
53,c_ALL_20210603100308352.csv,2.7616e-07
54,c_ALL_20210603100308675.csv,2.6064e-07
55,c_ALL_20210603100309008.csv,2.1888e-07
56,c_ALL_20210603100309343.csv,2.9648e-07
57,c_ALL_20210603100309674.csv,2.7536e-07
58,c_ALL_20210603100310020.csv,2.9856e-07
59,c_ALL_20210603100310346.csv,2.7088e-07
60,c_ALL_20210603100310674.csv,2.536e-07
61,c_ALL_20210603100311008.csv,2.7568e-07
62,c_ALL_20210603100311341.csv,2.512e-07
63,c_ALL_20210603100311680.csv,2.6128e-07
64,c_ALL_20210603100312008.csv,2.8896e-07
65,c_ALL_20210603100312342.csv,2.7504e-07
66,c_ALL_20210603100312674.csv,2.6576e-07
67,c_ALL_20210603100313008.csv,2.4816e-07
68,c_ALL_20210603100313351.csv,2.4912e-07
69,c_ALL_20210603100313683.csv,3.0592e-07
70,c_ALL_20210603100314014.csv,2.608e-07
71,c_ALL_20210603100314341.csv,2.3536e-07
72,c_ALL_20210603100314674.csv,2.0704e-07
73,c_ALL_20210603100315008.csv,2.424e-07
74,c_ALL_20210603100315342.csv,2.6256e-07
75,c_ALL_20210603100315674.csv,2.6832e-07
76,c_ALL_20210603100316013.csv,3.0544e-07
77,c_ALL_20210603100316346.csv,2.8976e-07
78,c_ALL_20210603100316680.csv,2.52e-07
79,c_ALL_20210603100317007.csv,2.5216e-07
80,c_ALL_20210603100317341.csv,2.4288e-07
81,c_ALL_20210603100317674.csv,2.5712e-07
82,c_ALL_20210603100318008.csv,2.5664e-07
83,c_ALL_20210603100318345.csv,2.4032e-07
84,c_ALL_20210603100318675.csv,2.4448e-07
85,c_ALL_20210603100319008.csv,2.7056e-07
86,c_ALL_20210603100319343.csv,2.6688e-07
87,c_ALL_20210603100319674.csv,2.4768e-07
88,c_ALL_20210603100320007.csv,3.0944e-07
89,c_ALL_20210603100320345.csv,2.6592e-07
90,c_ALL_20210603100320674.csv,2.5024e-07
91,c_ALL_20210603100321012.csv,2.3728e-07
92,c_ALL_20210603100321351.csv,2.7536e-07
93,c_ALL_20210603100321674.csv,2.5008e-07
94,c_ALL_20210603100322007.csv,2.6576e-07
95,c_ALL_20210603100322347.csv,2.5456e-07
96,c_ALL_20210603100322674.csv,2.896e-07
97,c_ALL_20210603100323016.csv,2.7472e-07
98,c_ALL_20210603100323341.csv,1.8512e-07
99,c_ALL_20210603100323674.csv,2.5728e-07
100,c_ALL_20210603100324008.csv,2.792e-07
101,c_ALL_20210603100324340.csv,2.456e-07
102,c_ALL_20210603100324674.csv,2.2624e-07
103,c_ALL_20210603100325008.csv,2.7904e-07
104,c_ALL_20210603100325344.csv,2.9968e-07
105,c_ALL_20210603100325675.csv,2.648e-07
106,c_ALL_20210603100326007.csv,2.448e-07
107,c_ALL_20210603100326342.csv,2.5552e-07
108,c_ALL_20210603100326674.csv,3.2016e-07
109,c_ALL_20210603100327007.csv,2.8272e-07
110,c_ALL_20210603100327351.csv,2.536e-07
111,c_ALL_20210603100327687.csv,2.7152e-07
112,c_ALL_20210603100328019.csv,2.4192e-07
113,c_ALL_20210603100328342.csv,2.8816e-07
114,c_ALL_20210603100328675.csv,3.0176e-07
115,c_ALL_20210603100329007.csv,2.8128e-07
116,c_ALL_20210603100329356.csv,2.4464e-07
117,c_ALL_20210603100329676.csv,2.6064e-07
118,c_ALL_20210603100330008.csv,2.9904e-07
119,c_ALL_20210603100330353.csv,2.672e-07
