,ID,Mean
0,0.0,1.0368094792929294e-05
1,100.0,1.0342574373737371e-05
2,200.0,1.0221628267676766e-05
3,300.0,1.019515164141414e-05
4,400.0,1.0024026494949495e-05
5,500.0,1.0037428353535353e-05
6,600.0,9.876076999999997e-06
7,700.0,9.740425984848485e-06
8,800.0,9.677763671717174e-06
9,900.0,9.698989313131314e-06
10,1000.0,9.63063091919192e-06
11,1100.0,9.612640363636363e-06
12,1200.0,9.49793146969697e-06
13,1300.0,9.461190878787882e-06
14,1400.0,9.542912843434342e-06
15,1500.0,9.38168753030303e-06
16,1600.0,9.238585772727274e-06
17,1700.0,9.147013944444445e-06
18,1800.0,9.015947606060605e-06
19,1900.0,9.139123904040404e-06
20,2000.0,8.802418858585858e-06
21,2100.0,8.850703191919192e-06
22,2200.0,8.614121444444444e-06
23,2300.0,8.389274636363637e-06
24,2400.0,8.525827525252526e-06
25,2500.0,8.515027631313132e-06
26,2600.0,8.223748252525252e-06
27,2700.0,8.535149535353537e-06
28,2800.0,8.009480858585859e-06
29,2900.0,7.610642070707071e-06
30,3000.0,7.729691348484849e-06
31,3100.0,7.642511661616161e-06
32,3200.0,7.2282860808080815e-06
33,3300.0,7.313501717171717e-06
34,3400.0,6.9036553686868696e-06
35,3500.0,6.771978752525253e-06
36,3600.0,7.5423087777777776e-06
37,3700.0,7.356077737373737e-06
38,3800.0,6.950092101010101e-06
39,3900.0,7.1311546010101e-06
40,4000.0,7.34600204040404e-06
41,4100.0,5.547682459595959e-06
42,4200.0,6.717483085858587e-06
43,4300.0,7.1382810454545455e-06
44,4400.0,7.032959404040404e-06
45,4500.0,6.963521570707071e-06
46,4600.0,7.011940363636362e-06
47,4700.0,5.671687151515152e-06
48,4800.0,5.0156931666666675e-06
49,4900.0,5.278750868686869e-06
50,5000.0,4.203785777777778e-06
51,5100.0,1.8266711111111112e-06
52,5200.0,4.36066844949495e-06
53,5300.0,3.588963277777778e-06
54,5400.0,5.320857838383839e-06
55,5500.0,2.941524383838384e-06
56,5600.0,5.077468388888889e-06
57,5700.0,5.520519707070707e-06
58,5800.0,2.6784149696969705e-06
59,5900.0,5.903223277777777e-07
