,ID,Discharge Current
0,0,-66.7375
1,1,-67.540625
2,2,-65.8
3,3,-63.93125
4,4,-70.559375
5,5,-67.584375
6,6,-64.875
7,7,-66.4625
8,8,-66.415625
9,9,-62.478125
10,10,-66.20625
11,11,-60.990625
12,12,-67.3
13,13,-63.275
14,14,-63.8625
15,15,-63.19375
16,16,-67.15
17,17,-66.0
18,18,-65.125
19,19,-65.090625
20,20,-62.84375
21,21,-68.365625
22,22,-67.946875
23,23,-66.11875
24,24,-67.096875
25,25,-66.259375
26,26,-69.6
27,27,-64.996875
28,28,-63.559375
29,29,-65.996875
30,30,-64.0375
31,31,-64.309375
32,32,-65.0
33,33,-65.73125
34,34,-65.753125
35,35,-66.75
36,36,-65.865625
37,37,-62.978125
38,38,-67.5
39,39,-63.1625
40,40,-69.096875
41,41,-65.359375
42,42,-66.96875
43,43,-67.2125
44,44,-65.090625
45,45,-64.603125
46,46,-63.84375
47,47,-64.50625
48,48,-63.5375
49,49,-62.45625
50,50,-63.41875
51,51,-65.10625
52,52,-67.071875
53,53,-62.928125
54,54,-60.75
55,55,-64.728125
56,56,-62.06875
57,57,-67.34375
58,58,-64.046875
59,59,-66.915625
60,60,-69.846875
61,61,-65.634375
62,62,-65.91875
63,63,-64.728125
64,64,-67.046875
65,65,-63.365625
66,66,-66.25
67,67,-61.80625
68,68,-66.971875
69,69,-65.109375
70,70,-66.0625
71,71,-64.825
72,72,-60.43125
73,73,-61.278125
74,74,-64.703125
75,75,-64.884375
76,76,-64.965625
77,77,-62.221875
78,78,-65.5125
79,79,-64.1625
80,80,-62.028125
81,81,-67.296875
82,82,-67.225
83,83,-56.390625
84,84,-62.521875
85,85,-66.059375
86,86,-65.2
87,87,-66.259375
88,88,-65.615625
89,89,-61.6375
90,90,-70.21875
91,91,-65.48125
92,92,-62.321875
93,93,-64.90625
94,94,-64.5875
95,95,-67.065625
96,96,-65.484375
97,97,-65.828125
98,98,-63.4125
99,99,-65.825
100,100,-64.81875
101,101,-62.171875
102,102,-64.50625
103,103,-64.921875
104,104,-66.76875
105,105,-66.496875
106,106,-65.665625
107,107,-64.378125
108,108,-64.271875
109,109,-67.459375
110,110,-63.590625
111,111,-62.8125
112,112,-61.5
113,113,-67.190625
114,114,-68.421875
115,115,-68.696875
116,116,-64.33125
117,117,-65.259375
118,118,-63.3
119,119,-63.8
120,120,-64.065625
121,121,-66.578125
122,122,-64.3
123,123,-63.55
124,124,-67.625
125,125,-67.30625
126,126,-63.828125
127,127,-63.63125
128,128,-61.58125
129,129,-67.2875
130,130,-65.06875
131,131,-61.0875
132,132,-62.890625
133,133,-68.4875
134,134,-63.465625
135,135,-63.50625
136,136,-64.93125
137,137,-63.678125
138,138,-63.203125
139,139,-64.784375
140,140,-67.896875
141,141,-64.371875
142,142,-66.85625
143,143,-62.709375
144,144,-60.68125
145,145,-62.825
146,146,-64.878125
147,147,-63.69375
148,148,-62.940625
149,149,-64.565625
150,150,-65.6125
151,151,-66.58125
152,152,-64.465625
153,153,-66.34375
154,154,-64.365625
155,155,-61.559375
156,156,-62.078125
157,157,-60.59375
158,158,-62.56875
159,159,-65.615625
160,160,-64.7125
161,161,-65.203125
162,162,-66.90625
163,163,-65.28125
164,164,-64.321875
165,165,-65.553125
166,166,-66.215625
167,167,-64.478125
168,168,-58.23125
169,169,-64.715625
170,170,-64.14375
171,171,-63.3
172,172,-65.546875
173,173,-64.99375
174,174,-55.259375
175,175,-63.096875
176,176,-65.5
177,177,-65.153125
178,178,-62.91875
179,179,-65.646875
180,180,-66.3875
181,181,-63.078125
182,182,-65.0375
183,183,-63.428125
184,184,-63.496875
185,185,-65.884375
186,186,-63.065625
187,187,-64.584375
188,188,-65.50625
189,189,-54.31875
190,190,-63.2625
191,191,-63.6125
192,192,-64.825
193,193,-67.421875
194,194,-64.025
195,195,-62.790625
196,196,-63.278125
197,197,-62.9125
198,198,-61.45625
199,199,-68.24375
200,200,-63.084375
201,201,-58.078125
202,202,-60.975
203,203,-63.76875
204,204,-67.0375
205,205,-63.534375
206,206,-61.415625
207,207,-65.69375
208,208,-66.321875
209,209,-65.584375
210,210,-63.546875
211,211,-63.384375
212,212,-68.875
213,213,-58.24375
214,214,-62.303125
215,215,-62.590625
216,216,-58.86875
217,217,-64.825
218,218,-65.1125
219,219,-62.278125
220,220,-63.7375
221,221,-60.475
222,222,-59.9
223,223,-64.065625
224,224,-65.615625
225,225,-62.221875
226,226,-64.79375
227,227,-62.303125
228,228,-64.128125
229,229,-64.634375
230,230,-66.984375
231,231,-61.190625
232,232,-63.353125
233,233,-63.990625
234,234,-65.4
235,235,-65.653125
