,ID,Discharge Current
0,0,-68.55
1,1,-67.746875
2,2,-68.053125
3,3,-67.534375
4,4,-66.75625
5,5,-68.825
6,6,-67.15
7,7,-66.61875
8,8,-67.575
9,9,-67.26875
10,10,-66.871875
11,11,-66.546875
12,12,-68.584375
13,13,-67.4375
14,14,-65.209375
15,15,-67.05
16,16,-66.5625
17,17,-64.1375
18,18,-68.74375
19,19,-68.540625
20,20,-64.709375
21,21,-68.8875
22,22,-66.025
23,23,-65.8375
24,24,-66.353125
25,25,-64.459375
26,26,-66.528125
27,27,-67.046875
28,28,-65.975
29,29,-64.728125
30,30,-67.903125
31,31,-65.934375
32,32,-67.971875
33,33,-66.4875
34,34,-66.865625
35,35,-65.66875
36,36,-68.1625
37,37,-65.6375
38,38,-66.528125
39,39,-66.425
40,40,-62.1875
41,41,-67.1625
42,42,-67.603125
43,43,-65.75625
44,44,-66.546875
45,45,-64.671875
46,46,-66.28125
47,47,-65.64375
48,48,-64.909375
49,49,-65.771875
50,50,-64.4625
51,51,-65.053125
52,52,-67.021875
53,53,-67.8
54,54,-68.290625
55,55,-67.675
56,56,-61.296875
57,57,-66.29375
58,58,-64.80625
59,59,-67.56875
60,60,-67.428125
61,61,-66.590625
62,62,-66.86875
63,63,-66.40625
64,64,-65.284375
65,65,-66.671875
66,66,-68.503125
67,67,-67.48125
68,68,-66.06875
69,69,-62.675
70,70,-67.13125
71,71,-66.665625
72,72,-67.8125
73,73,-66.60625
74,74,-66.65
75,75,-67.690625
76,76,-60.778125
77,77,-66.721875
78,78,-67.046875
79,79,-65.6625
80,80,-68.49375
81,81,-66.484375
82,82,-67.284375
83,83,-64.546875
84,84,-68.109375
85,85,-63.9625
86,86,-64.75625
87,87,-66.20625
88,88,-61.765625
89,89,-66.125
90,90,-65.659375
91,91,-65.68125
92,92,-66.9875
93,93,-66.54375
94,94,-64.528125
95,95,-66.54375
96,96,-65.903125
97,97,-65.28125
98,98,-64.815625
99,99,-64.021875
100,100,-66.525
101,101,-66.853125
102,102,-65.059375
103,103,-66.15625
104,104,-67.1125
105,105,-67.365625
106,106,-67.01875
107,107,-68.246875
108,108,-67.46875
109,109,-65.728125
110,110,-67.228125
111,111,-67.290625
112,112,-65.03125
113,113,-67.48125
114,114,-66.71875
115,115,-64.18125
116,116,-66.778125
117,117,-66.809375
118,118,-66.671875
119,119,-67.2625
120,120,-67.2125
121,121,-65.25625
122,122,-66.915625
123,123,-68.471875
124,124,-68.325
125,125,-67.5
126,126,-66.084375
127,127,-65.571875
128,128,-64.6375
129,129,-67.86875
130,130,-66.71875
131,131,-64.33125
132,132,-66.765625
133,133,-66.63125
134,134,-67.36875
135,135,-67.334375
136,136,-67.025
137,137,-66.196875
138,138,-66.86875
139,139,-65.684375
140,140,-66.04375
141,141,-66.34375
142,142,-66.38125
143,143,-65.434375
