,ID,Mean
0,0.0,18465.38888888889
1,100.0,18701.270833333332
2,200.0,19089.333333333332
3,300.0,19152.409722222223
4,400.0,19367.82638888889
5,500.0,19364.875
6,600.0,19579.180555555555
7,700.0,19672.215277777777
8,800.0,19706.694444444445
9,900.0,19680.652777777777
10,1000.0,19623.340277777777
11,1100.0,19668.131944444445
12,1200.0,19800.0625
13,1300.0,19703.23611111111
14,1400.0,19737.8125
15,1500.0,19743.29861111111
16,1600.0,19786.92361111111
17,1700.0,19798.652777777777
18,1800.0,19772.729166666668
19,1900.0,19774.840277777777
20,2000.0,19820.36111111111
21,2100.0,19785.777777777777
22,2200.0,19820.444444444445
23,2300.0,19798.86111111111
24,2400.0,19810.159722222223
25,2500.0,19808.055555555555
26,2600.0,19737.381944444445
27,2700.0,19786.04861111111
28,2800.0,19818.708333333332
29,2900.0,19738.644132653062
30,3000.0,19735.958333333332
31,3100.0,19783.18431122449
32,3200.0,19785.924342105263
33,3300.0,19742.063802083332
34,3400.0,19745.991447368422
35,3500.0,19725.758088235296
36,3600.0,19678.833333333332
37,3700.0,19686.59793814433
38,3800.0,19528.161082474227
39,3900.0,19639.748711340206
40,4000.0,19629.479166666668
41,4100.0,19617.939814814814
42,4200.0,19612.51728723404
43,4300.0,19666.24226804124
44,4400.0,19684.621744791668
45,4500.0,19640.310586734693
46,4600.0,19579.02899484536
47,4700.0,19561.700140449437
48,4800.0,19409.699013157893
49,4900.0,19420.136029411766
50,5000.0,19623.276939655174
51,5100.0,19091.240384615383
52,5200.0,19587.742307692308
53,5300.0,19536.572916666668
54,5400.0,19345.7859375
55,5500.0,19075.953125
56,5600.0,19446.427226027397
57,5700.0,19548.54894578313
58,5800.0,19511.903963414636
59,5900.0,19643.59375
