,ID,Mean
0,0.0,6.576969696969697e-08
1,100.0,6.796767676767677e-08
2,200.0,7.432888888888889e-08
3,300.0,7.482666666666666e-08
4,400.0,8.124282828282828e-08
5,500.0,8.106505050505053e-08
6,600.0,8.862222222222224e-08
7,700.0,9.389737373737373e-08
8,800.0,9.562181818181817e-08
9,900.0,9.448242424242423e-08
10,1000.0,9.670626262626263e-08
11,1100.0,9.77810101010101e-08
12,1200.0,1.0258262626262625e-07
13,1300.0,1.0467070707070708e-07
14,1400.0,1.0091313131313131e-07
15,1500.0,1.0839757575757578e-07
16,1600.0,1.1391999999999998e-07
17,1700.0,1.1802828282828285e-07
18,1800.0,1.2430868686868687e-07
19,1900.0,1.1759353535353537e-07
20,2000.0,1.3213898989898992e-07
21,2100.0,1.2915878787878786e-07
22,2200.0,1.3971717171717175e-07
23,2300.0,1.4944000000000002e-07
24,2400.0,1.4383353535353538e-07
25,2500.0,1.4364444444444447e-07
26,2600.0,1.5846787878787878e-07
27,2700.0,1.4328242424242425e-07
28,2800.0,1.667086868686869e-07
29,2900.0,1.812473469387755e-07
30,3000.0,1.8203151515151515e-07
31,3100.0,1.8123102040816327e-07
32,3200.0,1.8924294736842107e-07
33,3300.0,1.90205e-07
34,3400.0,2.0858442105263164e-07
35,3500.0,1.7725364705882352e-07
36,3600.0,1.923587878787879e-07
37,3700.0,1.907661855670103e-07
38,3800.0,2.1229195876288662e-07
39,3900.0,2.0185237113402065e-07
40,4000.0,1.9690666666666664e-07
41,4100.0,2.3025580246913583e-07
42,4200.0,2.1279148936170212e-07
43,4300.0,2.0161979381443297e-07
44,4400.0,2.006916666666667e-07
45,4500.0,2.1132408163265303e-07
46,4600.0,2.068437113402062e-07
47,4700.0,2.522948314606741e-07
48,4800.0,2.451831578947369e-07
49,4900.0,2.6436517647058827e-07
50,5000.0,2.2206344827586207e-07
51,5100.0,2.927384615384616e-07
52,5200.0,2.4166646153846154e-07
53,5300.0,2.2175666666666668e-07
54,5400.0,2.44676e-07
55,5500.0,2.706981818181818e-07
56,5600.0,2.2689315068493152e-07
57,5700.0,2.362621686746988e-07
58,5800.0,2.705717073170732e-07
59,5900.0,2.6071999999999997e-07
