,ID,Mean
0,0.0,1.0755078156312626e-07
1,500.0,9.399150300601202e-08
2,1000.0,8.475799599198397e-08
3,1500.0,8.268120240480962e-08
4,2000.0,8.012569138276552e-08
5,2500.0,7.767182364729459e-08
6,3000.0,7.424993987975952e-08
7,3500.0,7.862573146292586e-08
8,4000.0,7.60394388777555e-08
9,4500.0,7.86363126252505e-08
10,5000.0,8.151599198396793e-08
11,5500.0,7.848208416833667e-08
12,6000.0,8.000128256513026e-08
13,6500.0,8.081859719438879e-08
14,7000.0,8.219927855711423e-08
15,7500.0,8.444184368737475e-08
16,8000.0,8.61793987975952e-08
17,8500.0,8.55660120240481e-08
18,9000.0,8.75411623246493e-08
19,9500.0,8.968977955911824e-08
20,10000.0,8.933354709418838e-08
21,10500.0,8.713490981963929e-08
22,11000.0,8.904593186372745e-08
23,11500.0,9.2465250501002e-08
24,12000.0,9.494380761523046e-08
25,12500.0,9.454364729458917e-08
26,13000.0,9.72514629258517e-08
27,13500.0,9.822076152304608e-08
28,14000.0,9.428873747494989e-08
29,14500.0,9.668521042084168e-08
30,15000.0,9.851158316633267e-08
31,15500.0,9.95815631262525e-08
32,16000.0,1.014483366733467e-07
33,16500.0,9.967390781563126e-08
34,17000.0,9.899062124248497e-08
35,17500.0,1.1233122244488977e-07
36,18000.0,1.1597082164328658e-07
37,18500.0,1.157104609218437e-07
38,19000.0,1.1397226452905813e-07
39,19500.0,1.1564184368737474e-07
40,20000.0,1.1602693386773546e-07
41,20500.0,1.1797258517034068e-07
42,21000.0,1.2348280561122244e-07
43,21500.0,1.2389002004008017e-07
44,22000.0,1.261232865731463e-07
45,22500.0,1.3339735470941884e-07
46,23000.0,1.3444456913827655e-07
47,23500.0,1.4122420841683368e-07
48,24000.0,1.4988120240480963e-07
49,24500.0,1.5362020040080157e-07
50,25000.0,1.5642100200400803e-07
51,25500.0,1.7004889779559117e-07
52,26000.0,1.7170565130260521e-07
53,26500.0,2.0543547474747474e-07
54,27000.0,2.8215054108216434e-07
55,27500.0,2.884533867735471e-07
56,28000.0,2.819373146292585e-07
57,28500.0,2.9072609218436876e-07
58,29000.0,3.054824096385542e-07
59,29500.0,3.178133333333333e-07
60,30000.0,3.205461847389558e-07
61,30500.0,3.4492943089430893e-07
62,31000.0,3.5111089430894313e-07
63,31500.0,3.7680565488565485e-07
64,32000.0,3.7973379609544466e-07
65,32500.0,3.899895964125561e-07
66,33000.0,3.9029622641509433e-07
67,33500.0,4.014193548387097e-07
68,34000.0,4.285126170798898e-07
69,34500.0,4.17299393939394e-07
70,35000.0,4.276621686746988e-07
71,35500.0,4.411502545454546e-07
72,36000.0,4.476556053811659e-07
73,36500.0,4.5396e-07
74,37000.0,4.591542857142857e-07
75,37500.0,4.426266666666666e-07
