,ID,Mean
0,0.0,1.459878787878788e-07
1,100.0,1.6511353535353534e-07
2,200.0,1.7687757575757573e-07
3,300.0,1.8498747474747477e-07
4,400.0,1.902787878787879e-07
5,500.0,2.0295757575757582e-07
6,600.0,2.0833939393939394e-07
7,700.0,2.160937373737374e-07
8,800.0,2.219248484848485e-07
9,900.0,2.2401131313131314e-07
10,1000.0,2.359644444444444e-07
11,1100.0,2.407321212121212e-07
12,1200.0,2.4416646464646463e-07
13,1300.0,2.4620444444444443e-07
14,1400.0,2.5370828282828284e-07
15,1500.0,2.6254545454545455e-07
16,1600.0,2.679434343434344e-07
17,1700.0,2.735773737373738e-07
18,1800.0,2.792953535353535e-07
19,1900.0,2.885026262626263e-07
20,2000.0,2.848290909090909e-07
21,2100.0,2.927224242424242e-07
22,2200.0,2.9376e-07
23,2300.0,2.9930020202020203e-07
24,2400.0,3.0470787878787877e-07
25,2500.0,3.0378989898989897e-07
26,2600.0,3.1573494949494956e-07
27,2700.0,3.2177939393939393e-07
28,2800.0,3.2463191919191923e-07
29,2900.0,3.224387878787879e-07
30,3000.0,3.1980444444444445e-07
31,3100.0,3.3097858585858586e-07
32,3200.0,3.3516444444444445e-07
33,3300.0,3.4880969696969694e-07
34,3400.0,3.5135515151515155e-07
35,3500.0,3.5947797979797985e-07
36,3600.0,3.5619878787878786e-07
37,3700.0,3.534206060606061e-07
38,3800.0,3.689034343434344e-07
39,3900.0,3.8582303030303035e-07
40,4000.0,3.9004121212121213e-07
41,4100.0,4.02770101010101e-07
42,4200.0,3.9866020202020194e-07
43,4300.0,4.0206868686868687e-07
44,4400.0,4.073826262626262e-07
45,4500.0,4.164072727272727e-07
46,4600.0,4.040517171717172e-07
47,4700.0,4.098246464646464e-07
48,4800.0,4.130101010101011e-07
49,4900.0,4.3448404040404033e-07
50,5000.0,4.438981818181818e-07
51,5100.0,4.4996244897959183e-07
52,5200.0,4.617616326530612e-07
53,5300.0,4.439869387755102e-07
54,5400.0,4.5254204081632646e-07
55,5500.0,4.685810526315788e-07
56,5600.0,4.519105376344086e-07
57,5700.0,4.785301098901099e-07
58,5800.0,4.860083333333333e-07
59,5900.0,4.816464516129032e-07
60,6000.0,4.939890526315792e-07
61,6100.0,4.939981818181818e-07
62,6200.0,4.890031460674158e-07
63,6300.0,4.897789247311828e-07
64,6400.0,4.983736263736263e-07
65,6500.0,5.003463529411764e-07
66,6600.0,5.03211294117647e-07
67,6700.0,5.16802e-07
68,6800.0,4.930953846153847e-07
69,6900.0,5.005296551724138e-07
70,7000.0,5.001053164556962e-07
71,7100.0,5.088409756097561e-07
72,7200.0,5.305558974358975e-07
73,7300.0,5.129582222222223e-07
74,7400.0,5.272911111111112e-07
75,7500.0,5.1317e-07
76,7600.0,5.159976811594202e-07
77,7700.0,5.241036619718309e-07
78,7800.0,5.461058064516129e-07
79,7900.0,5.311323076923076e-07
