,ID,Probability
294,5880.0,1.0
295,5900.0,1.0
296,5920.0,1.0
297,5940.0,1.0
298,5960.0,1.0
299,5980.0,1.0
300,6000.0,1.0
301,6020.0,1.0
302,6040.0,1.0
303,6060.0,1.0
304,6080.0,1.0
305,6100.0,1.0
306,6120.0,1.0
307,6140.0,1.0
308,6160.0,1.0
309,6180.0,1.0
310,6200.0,1.0
311,6220.0,1.0
312,6240.0,1.0
313,6260.0,1.0
314,6280.0,1.0
315,6300.0,1.0
316,6320.0,1.0
317,6340.0,1.0
318,6360.0,1.0
319,6380.0,1.0
320,6400.0,1.0
321,6420.0,1.0
322,6440.0,1.0
323,6460.0,1.0
324,6480.0,1.0
325,6500.0,1.0
326,6520.0,1.0
327,6540.0,1.0
328,6560.0,1.0
329,6580.0,1.0
330,6600.0,1.0
331,6620.0,1.0
332,6640.0,1.0
333,6660.0,1.0
334,6680.0,1.0
335,6700.0,1.0
336,6720.0,1.0
337,6740.0,1.0
338,6760.0,1.0
339,6780.0,1.0
340,6800.0,1.0
341,6820.0,1.0
342,6840.0,1.0
343,6860.0,1.0
344,6880.0,1.0
345,6900.0,1.0
346,6920.0,1.0
347,6940.0,1.0
348,6960.0,1.0
349,6980.0,1.0
350,7000.0,1.0
351,7020.0,1.0
352,7040.0,1.0
353,7060.0,1.0
354,7080.0,1.0
355,7100.0,1.0
356,7120.0,1.0
357,7140.0,1.0
358,7160.0,1.0
359,7180.0,1.0
360,7200.0,1.0
361,7220.0,1.0
362,7240.0,1.0
363,7260.0,1.0
364,7280.0,1.0
365,7300.0,1.0
366,7320.0,1.0
367,7340.0,1.0
368,7360.0,1.0
369,7380.0,1.0
370,7400.0,1.0
371,7420.0,1.0
372,7440.0,1.0
373,7460.0,1.0
374,7480.0,1.0
375,7500.0,1.0
376,7520.0,1.0
377,7540.0,1.0
378,7560.0,1.0
379,7580.0,1.0
380,7600.0,1.0
381,7620.0,1.0
382,7640.0,1.0
383,7660.0,1.0
384,7680.0,1.0
385,7700.0,1.0
386,7720.0,1.0
387,7740.0,1.0
388,7760.0,1.0
389,7780.0,1.0
390,7800.0,1.0
391,7820.0,1.0
392,7840.0,1.0
393,7860.0,1.0
394,7880.0,1.0
395,7900.0,1.0
396,7920.0,1.0
397,7940.0,1.0
398,7960.0,1.0
399,7980.0,1.0
400,8000.0,1.0
401,8020.0,1.0
402,8040.0,1.0
403,8060.0,1.0
404,8080.0,1.0
405,8100.0,1.0
406,8120.0,1.0
407,8140.0,1.0
408,8160.0,1.0
409,8180.0,1.0
410,8200.0,1.0
411,8220.0,1.0
412,8240.0,1.0
413,8260.0,1.0
414,8280.0,1.0
415,8300.0,1.0
416,8320.0,1.0
